term,page,entry,agency,Duplicate,Company,Size,Has SE,Has Data (MY),Is Outsource
se,17,11,linkedin,FALSE,OOAK Solutions,11-50,TRUE,FALSE,FALSE
se,17,7,linkedin,FALSE,yamaha electronics manufacturing,1000-5000,TRUE,FALSE,FALSE
se,17,2,linkedin,FALSE,Petraware technologies,11-50,TRUE,TRUE,FALSE
se,16,20,linkedin,FALSE,Linexcom Sdn Bhd,11-50,TRUE,FALSE,FALSE
se,16,18,linkedin,FALSE,Ideagen,11-50,TRUE,TRUE,FALSE
se,16,10,linkedin,FALSE,Loom.com,50-200,TRUE,TRUE,FALSE
se,16,7,linkedin,FALSE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
se,15,25,linkedin,TRUE,Loom.com,50-200,TRUE,TRUE,FALSE
se,15,12,linkedin,FALSE,Recruiter4You,1-10,TRUE,TRUE,TRUE
se,14,18,linkedin,TRUE,Loom.com,50-200,TRUE,TRUE,FALSE
se,13,10,linkedin,FALSE,Yo HR Consultancy,11-50,TRUE,TRUE,TRUE
se,10,22,linkedin,FALSE,Michael Page,5000-10000,TRUE,TRUE,TRUE
se,9,4,linkedin,FALSE,Agoda.com,5000-10000,TRUE,TRUE,FALSE
se,7,18,linkedin,FALSE,Ola Chat,1000-5000,TRUE,TRUE,FALSE
se,5,8,linkedin,FALSE,Dematic,10000+,TRUE,FALSE,FALSE
se,5,5,linkedin,FALSE,Net2Source,1000-5000,TRUE,FALSE,TRUE
se,3,23,linkedin,FALSE,HTC Global Services,10000+,TRUE,TRUE,FALSE
se,3,14,linkedin,FALSE,Emerson,10000+,TRUE,TRUE,FALSE
se,3,9,linkedin,FALSE,Logicalis Asia Pacific,5000-10000,TRUE,TRUE,FALSE
se,2,3,linkedin,FALSE,Experian,10000+,TRUE,TRUE,FALSE
se,1,23,linkedin,FALSE,Manatal,50-200,TRUE,TRUE,FALSE
dev,40,14,linkedin,FALSE,iSoftStone,10000+,TRUE,TRUE,FALSE
dev,39,24,linkedin,TRUE,HCL Tech,10000+,TRUE,TRUE,FALSE
dev,39,7,linkedin,FALSE,Crypto.com,5930,TRUE,FALSE,FALSE
dev,38,22,linkedin,FALSE,AIA Digital+,1000-5000,TRUE,TRUE,FALSE
dev,38,20,linkedin,TRUE,Swift,1000-5000,TRUE,TRUE,FALSE
dev,37,10,linkedin,FALSE,Team Lewis,500-1000,TRUE,FALSE,FALSE
dev,36,25,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,35,11,linkedin,FALSE,PinPoint Tech,50-200,TRUE,TRUE,TRUE
dev,34,20,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,34,15,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,34,9,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,33,23,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,33,3,linkedin,TRUE,HTC Global Services,10000+,TRUE,TRUE,FALSE
dev,31,25,linkedin,FALSE,Swift,1000-5000,TRUE,TRUE,FALSE
dev,31,1,linkedin,FALSE,Keysight Technologies,10000+,TRUE,TRUE,FALSE
dev,30,10,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,29,15,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,28,12,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,27,21,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,27,18,linkedin,TRUE,JEV Management Sdn Bhd,11-50,TRUE,TRUE,TRUE
dev,26,14,linkedin,TRUE,HTC Global Services,10000+,TRUE,TRUE,FALSE
dev,26,8,linkedin,TRUE,HTC Global Services,10000+,TRUE,TRUE,FALSE
dev,26,7,linkedin,FALSE,HCL Tech,10000+,TRUE,TRUE,FALSE
dev,24,24,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,24,17,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,24,12,linkedin,FALSE,Ria Money Transfer,1000-5000,TRUE,TRUE,FALSE
dev,22,3,linkedin,FALSE,Unison Consulting,200-500,TRUE,FALSE,FALSE
dev,22,1,linkedin,FALSE,Dikshatek Malaysia,500-1000,TRUE,FALSE,TRUE
dev,21,23,linkedin,FALSE,AmLife International,50-200,TRUE,FALSE,FALSE
dev,20,14,linkedin,FALSE,EcoVadis,1000-5000,TRUE,FALSE,FALSE
dev,18,20,linkedin,FALSE,Ingenious Lognet Solutions,11-50,TRUE,FALSE,FALSE
dev,18,2,linkedin,FALSE,Strattonshire Ventures,11-50,TRUE,FALSE,FALSE
dev,17,23,linkedin,TRUE,Accenture,10000+,TRUE,TRUE,FALSE
dev,17,12,linkedin,TRUE,Michael Page,5000-10000,TRUE,TRUE,TRUE
dev,15,15,linkedin,FALSE,Teknowiz,11-50,TRUE,TRUE,TRUE
dev,15,13,linkedin,FALSE,EY,10000+,TRUE,TRUE,FALSE
dev,13,2,linkedin,TRUE,Luxoft,18000,TRUE,TRUE,TRUE
dev,11,22,linkedin,FALSE,Accenture,10000+,TRUE,TRUE,FALSE
