term,page,entry,agency,Duplicate,Company,Size,Has SE,Has Data (SG),Is Outsource
se,34,23,linkedin,FALSE,Coupang,10000+,TRUE,TRUE,FALSE
se,33,20,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,33,11,linkedin,FALSE,Japan Research Institute,200-500,TRUE,TRUE,FALSE
se,32,21,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,32,4,linkedin,FALSE,Grain,50-200,TRUE,FALSE,FALSE
se,30,25,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,30,23,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,30,15,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,30,8,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,29,2,linkedin,FALSE,Flintex Consulting,11-50,TRUE,TRUE,TRUE
se,28,13,linkedin,FALSE,OKX,1000-5000,TRUE,TRUE,FALSE
se,27,5,linkedin,TRUE,ByteDance,10000+,TRUE,TRUE,FALSE
se,26,5,linkedin,TRUE,ByteDance,10000+,TRUE,TRUE,FALSE
se,22,19,linkedin,FALSE,ByteDance,10000+,TRUE,TRUE,FALSE
se,18,25,linkedin,FALSE,Goldman Sachs,10000+,TRUE,TRUE,FALSE
se,18,13,linkedin,FALSE,Jobscentral,50-200,TRUE,TRUE,TRUE
se,16,11,linkedin,TRUE,Tiktok,10000+,TRUE,TRUE,FALSE
se,14,18,linkedin,FALSE,Tiktok,10000+,TRUE,TRUE,FALSE
se,14,12,linkedin,FALSE,Shopback,500-1000,TRUE,TRUE,FALSE
se,14,9,linkedin,FALSE,HOPE Technik,50-200,TRUE,FALSE,FALSE
se,13,10,linkedin,FALSE,Ranstad Singapore,10000+,TRUE,TRUE,TRUE
se,12,21,linkedin,FALSE,JPMorgan Chase,10000+,TRUE,TRUE,FALSE
se,12,3,linkedin,FALSE,Tektome,11-50,TRUE,FALSE,FALSE
