Company,Role,Responsibility,Qualifications
Ideagen,AI Technical Product Owner,"We are seeking for an experienced Product Owner with deep understanding of AI technologies. As a Level 2 Technical Product Owner, you will play a pivotal role in driving the development, delivery and success of AI-driven products and solutions. You will work closely with multiple Product Managers and cross functional teams to understand the problems and opportunities to be addressed, prioritise features, and ensure the timely delivery of high-quality products. This is an exceptional opportunity to make a significant impact in a fast-paced and dynamic environment while staying at the forefront of the latest
advancements in AI.

Requirements Gathering: Collaborate closely with product managers to comprehensively gather and document product requirements, ensuring a clear understanding of desired outcomes.
• Stakeholder Management: Engage proactively and maintain open lines of communication with key stakeholders, including Product Managers, Development teams, and other pertinent business and technical stakeholders. This involves addressing inquiries promptly, gathering valuable feedback, aligning expectations, and furnishing regular updates on the progress of product development initiatives.
• User Story Development and Refinement: Decompose high-level requirements into actionable user stories with well-defined acceptance criteria, ensuring the development team grasps the scope of work accurately.
• Backlog Management: Maintain and prioritize the product backlog meticulously, ensuring user stories and tasks are precisely defined, estimated, and prioritized based on business value and customer needs.
• Sprint Planning: Lead sprint planning sessions, collaborating with the development team to determine the sprint's scope and establish realistic and achievable goals.
• Sprint Review: Participate in sprint review sessions to verify that the product aligns with customer expectations, gathering feedback for continuous improvement.
• Sprint Retrospective: Participate in retrospective sessions to identify areas for enhancement and implement lessons learned, fostering a culture of continuous improvement within the team. Observe key metrics to identify areas of improvements.
• Product Documentation: Contribute to the creation and maintenance of comprehensive product documentation, including personas, customer journey maps, user manuals, release notes, and feature descriptions, ensuring accuracy and completeness.
• Agile Development Process: Embrace agile principles and ways of working, such as Scrum or Kanban, to facilitate iterative and incremental development.
• Project Management: Track project progress, identify risks and implement mitigation strategies to ensure timely delivery of high-quality products","Proven AI Expertise: Demonstrated experience (2+ years) as an AI Product Owner or in a similar role, preferably within an Agile software development environment. Anyone who is interested in the AI domain is encouraged to apply.
• Agile Expertise: Proficiency with Agile tools like JIRA or Trello, coupled with familiarity with Agile ways of working such as Scrum or Kanban, is highly desirable.
• SaaS Proficiency: Experience with the deployment and development of SaaS software solutions is advantageous.
• Strong Analytical Skills: Ability to dissect complex problems, break them down into manageable components, and propose effective solutions.
• Excellent Communication: Exceptional verbal and written communication skills are essential, with the capability to articulate ideas and requirements clearly and effectively to technical and non-technical stakeholders across cultures and organizational levels.
• Collaborative Nature: Ability to thrive in a team-oriented, cross-functional environment, fostering relationships and promoting collaboration.
• Attention to Detail: Meticulous organizational skills with an attention to detail, ensuring accurate documentation and tracking of requirements and deliverables.
• Adaptability: Comfortable operating in a fast-paced, dynamic environment, with the flexibility to swiftly adapt to shifting priorities and evolving business needs.
• Passion for Technology: Enthusiasm for emerging technologies, software development processes, and a commitment to staying abreast of the latest industry trends.
• Self-Motivation: A proactive individual who demonstrates ownership of tasks and exhibits the drive to learn, grow, and undertake additional responsibilities autonomously."
Loom.com,Senior Data Scientist,"Collaborate on a variety of product and business problems with a diverse set of cross-functional partners and become a trusted strategic partner through the structure and clarity of your work.

Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the business's biggest challenges.

Focus on developing hypotheses through analytical approaches, different methodologies, frameworks, and technical approaches to test them.

Define, understand, and test opportunities to improve the products and business and influence roadmaps through insights and recommendations.

Partner with cross-functional teams to inform, influence, and execute strategy decisions

Identify and measure the success of product efforts through forecasting and monitoring of key product metrics to understand trends.

You will use data to shape product development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Atlassian.","5+ years of experience in an analytics role turning data into insights and recommendations

Strong analytical and communication skills with the ability to synthesize insights into compelling stories

Experience with the SaaS customer lifecycle from acquisition to retention

Experience with designing and analyzing experiments

Superior SQL (Snowflake, Postgres) skills - able to write structured and efficient queries on large data sets

Experience with a Business Intelligence tool (e.g. Tableau or Hex)

Experience with a statistical scripting language (e.g. R or Python) is a plus"
Petraware technologies,Business Analyst,"Gather and analyze user requirements, offering solutions to clients.
Create documentation including user requirements, functional specifications, test scripts, user guides, and training materials.
Participate in application testing to ensure system functionality meets requirements.
Support implementation and training as needed.
Act as a liaison between the development team and stakeholders throughout the implementation process.
Conduct research and analysis on Asset Management technologies.
Recommend improvements to business processes, reports, and applications to enhance system efficiency.
Handle any ad-hoc tasks as assigned by the End User.","Bachelor's degree in Computer Science, Information Technology, Business Studies, Management, or a related field.
1-3 years of experience in Unit Trust, Asset Management, finance, or accounting preferred.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills in English; proficiency in additional languages is a plus.
Outgoing, resourceful self-starter with strong interpersonal skills.
Knowledge of Unit Trust processes, digital transformation, and user experience is beneficial.
Willingness to travel and accept overseas assignments if needed.
Ability to work independently and as part of a team.
Fresh graduates are encouraged to apply."
Agoda.com,Data Analyst,"Search: Experiment with text ads, bidding, and campaign structures on Google, Bing, Baidu, Naver, and other search engines. Adapt to new product features and roll out changes from successful tests.
Display: Test, analyze, and optimize campaigns on Facebook, Twitter, Instagram, and others.
Modeling: Analyze the vast amounts of data generated by experiments, develop models we can use for optimization, and build dashboards for account managers.","Bachelor’s Degree or higher from top university in a quantitative subject (computer science, mathematics, engineering, statistics or science)
Ability to communicate fluently in English
Exposure to one or more data analysis packages or databases, e.g., SAS, R, SPSS, Python, VBA, SQL, Tableau
Good numerical reasoning skills
Proficiency in Excel
Intellectual curiosity and analytical skills"
Agoda.com,Senior Data Engineer,"Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
Build, administer and scale data processing pipelines.
Be comfortable navigating the following technology stack: Scala, Spark, java, Golang, Python3, scripting (Bash/Python), Hadoop, SQL, S3 etc.
Improve scalability, stability, accuracy, speed and efficiency of our existing data systems
Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality
Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks","Bachelor’s degree in Computer Science /Information Systems/Engineering/related field
5+ years of experience in software and data engineering
Good experience in Apache Spark
Expert level understanding of JVM and either Java or Scala
Experience debugging and reasoning about production issues is desirable
A good understanding of data architecture principles preferred
Any other experience with Big Data technologies / tools
SQL experience
Analytical problem-solving capabilities & experience.
Systems administration skills in Linux"
Ola Chat,Data Analyst,"1.Understand the company’s live streaming business, establish data metrics, track reporting, and ensure data accuracy.

2.Coordinate with business departments, provide data statistics and analysis support, offer data dashboards and related conclusions, and propose data suggestions.

3.Analyze fluctuations in business data for specific scenarios, drive problem identification and improvement, assist in product optimization, and track optimization results.

4.Analyze existing business data, assist in building a user tag system framework, and achieve refined business operations.

5.Responsible for data analysis of B-end operational strategies, evaluating the effectiveness of strategies from dimensions such as revenue, cost, return on investment, etc., and assisting the operational department in formulating operational strategies.

6.Collect public data, conduct user demand research, and complete business-themed commercial analysis.","1.Bachelor’s degree or above in statistics, mathematics, computer science, or related fields, with more than 2 years of experience in data development and analysis.

2.Proficient in using SQL language for various complex data processing and summary statistical analysis, able to quickly master BI software, familiarity with visualization software such as Tableau is preferred.

3.Proficient in Excel (MS-MVP is a plus), including pivot tables, functions, charts, etc.

4.Strong logical thinking ability, clear expression, adept at expressing viewpoints with data.

5.Self-driven, with strong independent work and problem-solving abilities, able to handle work pressure."
HTC Global Services,Data Analyst,,"Analytical skills in analysing numbers and trends

Attention to detail and sound problem solving skills

Advanced competency in Excel

Proficiency in database management and data analysis tools (e.g., SQL, Excel, Tableau)

Possess basic programming skills"
Logicalis Asia Pacific,Analytics Consultant,"Extracts knowledge and insights from data in order to investigate complex business problems through a range of data preparation, modeling, analysis and/or visualization techniques, including predictive analysis, business intelligence, pattern recognition, operational effectiveness and/or economic forecasting. ","Key skills include data analysis techniques (e.g., A/B testing, association rule learning, cluster analysis, pattern recognition and predictive modeling), data analysis and visualization software (e.g., Domo, Looker, PowerBI, Qlik, Tableau, SiSense), object-oriented programming languages (Java, Python, R, Ruby, Scala, C++) and/or data engineering skills (relational or NoSQL databases, ETL tools).

Has working knowledge and experience in own discipline
 Continues to build knowledge of the organization, processes and customers
 Performs a range of mainly straightforward assignments
 Uses prescribed guidelines or policies to analyze and resolve problems
 Receives a moderate level of guidance and direction
 Typically follows prescribed guidelines or procedures to resolve problems
 Has working knowledge of basic concepts and procedures; performs a variety of routine tasks or assignments
 May train new team members and provide input to employee performance evaluations
 Works with a moderate level of guidance"
Emerson,Group Manager of Customer Data Management,"Develop and implement a comprehensive customer master data management strategy aligned with the company's goals and objectives. 
Establish and implement data governance policies, standards, and procedures to ensure data integrity, accuracy, and compliance with regulatory requirements. 
Be responsible for the design, implementation, and maintenance of customer master data management systems, tools, and technologies. 
Collaborate with IT teams to ensure magnificent integration of customer master data across various systems and platforms. 
Define and supervise data quality metrics, proactively identify data issues, and implement corrective actions. 
Drive data cleansing, enrichment, and standardization initiatives to improve data quality and consistency. 
Establish and maintain data stewardship processes, roles, and responsibilities. 
Provide leadership and mentorship to a team of data management professionals, fostering a culture of continuous learning and development. 
Collaborate with business partners to understand data requirements, resolve data-related issues, and support data-driven initiatives. 
Stay ahead of with industry trends, best practices, and emerging technologies in customer master data management. 
Contribute to and lead global initiatives that are dedicated to process alignment, policy consistency, task prioritization, timely delivery, problem solving, and collaborative learning.
Initiative to excel in a dynamic and fast paced environment and not afraid of doing “hands on” work occasionally. ","BS in Economics, Statistics, Operations Research, Computer Science, Business Administration, or a related field.. 
Demonstrable experience (minimum 5 years) in managing customer master data, preferably in a leadership role. 
Solid understanding of data management principles, data governance, and data quality management. 
Experience implementing and managing customer master data management systems, tools, and technologies. 
Familiarity with data integration and data migration techniques. 
Excellent leadership and people management skills, with a track record of building and developing high-performing teams. 
Good communication and interpersonal skills, with the ability to collaborate effectively with multi-functional teams and senior partners. 
Goal-focused attitude with the capability to initiate change, handle various tasks, and meet timeframes. 
Diligent in ensuring detail and precision. 
Knowledge of industry standards and regulations related to customer data management."
Experian,Data Analyst,"Data Analysis and Reporting: Utilize Snowflake for querying and analysing large datasets, and create meaningful reports and visualizations in Jupyter or dataviz tools such as Tableau and Superset.
Data Transformation and Modeling: Employ dbt to structure and transform data to optimize analysis and reporting.
Workflow Management: Develop and manage workflows (we have a preference for Dagster/Python) to ensure data quality and consistency across tasks.
Collaborative Projects: Work closely with data engineers and other analysts to refine data collection and analysis processes.","Education and Experience: Degree in Computer Science, Information Systems, Statistics, or a related field. At least 3 years of experience in a data analyst role, preferably with exposure to the modern data stack and cloud data infrastructure

Curiosity. We value above all an individual that's curious about the job that's being done.
Technical Proficiency: You must be a SQL wizard, we'd love experience with cloud data platforms like Snowflake. Proficiency in Python, especially in a data context using Jupyter and orchestration tools such as Airflow and Dagster
Data Transformation Skills: Experience with data build tool (dbt) or ELT paradigm for transforming data in a warehouse environment
Analytical Skills: Ability to derive insights from complex data sets and present them in a clear and concise manner.
Communication: Excellent verbal and written communication skills to effectively share findings and collaborate with team members.
Desirable: Experience with data visualization tools (Tableau, PowerBI or Superset), Knowledge of additional programming languages or analytics tools. Ability to innovate and show initiative"
