Index,Company,Role,Responsibility,Qualifications
18,Outsource,Data Scientist,,"""Programming skills in Python

Training and deploying machine learning models end-to-end

Good understanding of basic statistics and deep learning techniques

Any experience in data integration, profiling, validation, and cleansing

Experience deploying TensorFlow and PyTorch into production.

Programming skills in Python

Training and deploying machine learning models end-to-end

Good understanding of basic statistics and deep learning techniques

Any experience in data integration, profiling, validation, and cleansing

Experience deploying TensorFlow and PyTorch into production"
24,Govtech Singapore,Data Scientist,"Facilitate discussions with stakeholders to understand their business challenges, sharpen the business use cases and translate them into data science projects/products.
Perform data cleaning, pre-processing, feature engineering, and build data science models/products to address the use case.
Present findings, solicit feedback and prioritise refinements to the analysis in close iteration with stakeholders while managing overall project timeline.
Communicate the data insights and business impact of the projects/products in a clear and compelling narrative, supported with impactful visuals, to influence key decision makers.
Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
Depending on the use case, operationalise the use case by using existing MLOps platforms to deploy and monitor the machine learning models.
Opportunities to be deployed to another government agency as the core data science team for a sustained period of 2-3 years, to build up data science capabilities at the agency. This will involve formulating and implementing strategies to build strong pipeline of impactful projects/products at the agency, and executing these projects or deploying the products into production systems.","A Bachelor's Degree or higher in Data Science, Computer Science, Statistics, Economics, Quantitative Social Science, or related disciplines. We will also factor in relevant certifications (e.g., Coursera).
At least 2 years of relevant experience, in data science and/or public sector.
Capable of translating business use cases into analytical problems, and identifying appropriate data sources to tackle these problems.
Proficient in writing scripts for data preparation and analysis, using modern analysis tools & programming methodologies.
Proficient cleaning, imputing and correcting anomalies in the collected structured or unstructured data to ensure a high standard of quality in data sets to be used in the analysis work.
Proficient in exploring and analysing datasets, applying probability and statistical methodologies and techniques to discover insights from the data.
Proficient in building machine learning models to identify, recognise patterns and make predictions.
Proficient in design principles and use of visualisations to best convey the intended information.
Capable of developing data visualisation from standalone graphs and charts on to highly customised tools and apps while tightly integrated to the data systems for real time visualisation of information.
Capable of translating results from analysis work into actionable recommendations for stakeholders.
Capable of communicating results and business impact from analysis work in a coherent data story for stakeholders.
Have passion for improving public service and deliver public good using analytics and data.


Preferred requirements: 


Experience in model deployment and MLOps
Experience in stakeholder management 
Experience in agile project management 
Experience in developing capability in others"
11,Tencent,Data Scientist,"Analyse behavioural trends to identify malicious activities and detect anomalies in the WeChat ecosystem via data analysis and machine learning
Devise appropriate strategies to track fraudulent accounts and protect users from spam or fraudulent activity
Deploy and maintain machine learned models to help detect malicious accounts","Bachelor degree in Computer Science, Data Science, Mathematics, Economics, or Statistics or similar quantitative field
Ability to communicate complex ideas to non-technical stakeholders in a way they can easily understand and appreciate.
Experience on building machine learning or deep learning solutions
Good knowledge of Python programming language, C/C++/Go programming language is preferred
Self-driven, innovative, collaborative, with good communication and presentation skills, able to translate between business and technical audiences
Fluency in both English and Mandarin to deal with international stakeholders and stakeholders who are based in HQ"
21,Airwallex,Senior Data Scientist,"Optimize Airwallex’s overall risk portfolio effectively using experimentation and deep-dive analysis, and delivering insights to shape Airwallex’s overall risk strategy
Apply machine learning and/or statistical models to estimate company-level risk exposure (e.g. acquiring, fraud, credit, FX, other product risks etc.) 
Optimize our merchant-portfolio risk by leveraging a robust risk-adjusted margin model to inform onboarding decisions
Objectively evaluate if our models and data are in compliance and aligned with the company’s risk strategy
Partner with Risk Strategy, Risk Product, Engineering, Operations, and cross-functional teams to inform, influence, support, and execute Airwallex’s risk strategy","5+ years industry experience and an advanced degree (PhD or MS) in a quantitative field (e.g. Statistics, Engineering, Sciences, Computer Science, Economics) 
Experience with communicating the results of analyses to executives and cross-functional teams to influence the strategy 
Expert in data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R), experience in schema design and dimensional data modeling a plus
Expert in experimentation, machine learning, and statistical modeling to drive data-informed decisions, experience with deploying production machine learning models a plus 
Experience in technology, financial services and/or a high growth environment is advantageous
"
25,Tiktok,Data Scientist,"Responsibilities
1. Work closely with stakeholders to capture requirements for data labeling projects;
2. Track the progress of data labeling projects and manage resources to ensure timely completion;
3. Develop strong relationships with XFN partner teams to deliver efficient data solutions that support revenue generation and cost savings;
4. Translating complex business requirements into technical product solutions;
5. Enhance on the service and quality of labelled data delivery;
6. Innovate across multiple different data product types to reduce cost and increase impact;
7. Utilize experience to recommend the right machine learning techniques to the appropriate business use-cases;
8. Experience the entire model pipeline from data gathering to model delivery and maintenance.","What you will need
1. Solid foundations of statistics and data science/analytics projects management is preferred;
2. Outstanding skills of communication, collaboration, project management, problem solving, and an excellent team player;
4. Strong interest in process optimisation and improvement;
5. Highly conscientious with good attention to detail;
6. Experience in artificial intelligence, computer vision, and machine learning techniques and other fields are highly preferred. 

Qualifications

 Minimum Qualifications
1. Bachelor's degree in Computer Science, Engineering or equivalent practical experience;
2. Experience with writing and optimizing SQL, and with one general purpose
programming language (e.g., Java, C/C++, Python);
3. Experience in data analytics and data visualization."
23,CMA CGM,Data Scientist/Operations Research,"Gather business requirements from business users
Data collection, cleansing, processing and analysis
Building models to solve real-world problems raised by business users
Data science (Anomaly detection with deep learning, Generative AI projects using Chat GPT API and Time series analysis)
Operations research (Optimal flow in a network, Shortest path for maritime road that optimizes bunker cost,etc.)
Participate and implement exciting protype projects that can be scaled within the organization and create a lasting impact (e.g. Data Science/AI Projects - Network Optimization)","Students currently pursing Bachelors / Master’s degree related to Computing/Data Science/Physics/Mathematics/ Analytics or Operational Research
Ideally final year / penultimate year students
Fast learner, ability to work independently
Good exposure in using programming languages: Python and SQL
Experience in Operations research / Machine learning / Front End is a plus"
16,Sanofi,Data Scientist,"Understand the setup and capabilities of the site’s data integration layer and plant connectivity with the goal of designing and setting up bioprocess data framework and system.
Combine expertise in biotechnological processes to ensure technical propositions are in accordance with Good Manufacturing Practices (GMP) and industrial constraints to maximize robustness, reliability and economics.
Work with cross-functional stakeholders (including MSAT DSD and MSAT process engineers) to design and setup framework and systems to collate, manage, visualize and analyze bioprocess data.
Translate process data to enable end-users (process engineers) to visualize data for process performance and trending, as well as to perform data analysis using in house statistical tools/softwares
Work closely with MSAT DSD and MSAT process teams to analyse the real time process data to to improve process monitoring and control.
Adheres to the work and governance frameworks and deliver in a timely manner. ","Holds or is working to complete a scientific or engineering degree (or higher), preferably in Biotechnology, Biological Sciences, or Chemical Engineering.
Is data-driven, scientifically curious and an effective communicator.
Ideally has work (or internship) experience in a cGMP biopharmaceutical facility, and/or small- or pilot-scale hands-on experience with mammalian cell culture and purification techniques.
Is familiar with data analytics and an experience in using data analytics tools would be advantageous such as R, JMP, Python, Matlab. 
Has experience with developing business requirements, use cases and user stories in a data analytics context."
25,Outsource,Data Analyst,"Responsible for supporting analysis requirements such as ad-hoc analysis report, dashboards building, data tracking design, etc;
 Use data-driven techniques to find weaknesses in payment products and implement improvements proactively;
 Build data products to provide our customers with data insights and best practices in the Payments domain;
 Cooperate with Products and Operation teams to define system requirements, build data products, improve and roll-out product features to support business."," Bachelor degree or above in Computer Science, Statistics, Mathematics or other related majors;
 Proficient in SQL, familiar with C ++/Java/Golang is preferred;
 Proficient in big data platforms such as Hive/ Spark;
 Strong data analysis capabilities;
 Experience in supporting and optimising business needs with data analysis
 Background in internet companies or payments is preferred;
 Strong interest in Data Analysis, Data Mining is preferred"
18,Shopee,OR Data Analyst,"Data Analysis and Simulation: Analyse large datasets to uncover trends and insights that can drive innovative improvements in logistics and supply chain processes. Use simulation models to evaluate the potential impact of different operations models and strategies
Transportation Optimisation: Focus on optimising logistics processes to deliver parcels to our users faster and at lower costs. This includes projects such as route optimisation, linehaul planning, automation and the placement of hubs etc. to enhance the efficiency of our delivery network
Fulfilment Operations Optimisation: Develop strategies to optimise warehouse operations, including warehouse layout optimisation, automation, inventory management, improving packaging efficiency, and enhancing overall fulfilment processes etc.
Project management: Conduct trials and build prototypes of solutions to evaluate effectiveness on the grounds. Design implementation steps to ensure theoretical improvements are realised
Collaboration and Communication: Work closely with cross-functional teams, including logistics, product development, marketing, and finance, to understand business needs and provide data-driven solutions. Communicate findings and recommendations clearly to stakeholders
Continuous Improvement and Innovation: Stay updated on the latest trends and advancements in operations research and logistics management. Propose innovative solutions to continuously improve Shopee’s operational efficiency","Education: Bachelor’s or Master’s degree in Operations Research, Industrial Engineering, Applied Mathematics, Statistics, Computer Science, or a related field
Programming Skills: Proficiency in programming languages, with extensive use of Python for modelling and data analytics
Experience: At least 2 years of experience in operations research, data analytics, or a similar analytical role, preferably in e-Commerce, logistics, or supply chain management. Applicants with 0-1 years of experience but with strong data analytics and Python skills are welcome to apply
Problem-Solving: Strong problem-solving skills with a solid analytical mindset. Able to identify opportunities for value creation and support decision-making with logic and data
Agility and Pragmatism: Capable of building prototypes and iterating solutions quickly, while incorporating real-life constraints into the models
Communication Skills: Ability to effectively communicate complex findings to both technical and non-technical stakeholders
Team Collaboration: Thrives in a team-based, energetic environment, demonstrating strong collaboration skills"
18,Singtel,Data analyst," Data discovery, collection, analysis, and interpretation of data
 Gather data from various sources including databases, spreadsheets & others and clean/ validate data to ensure accuracy. 
 Dashboard Development and Management
 Develop, maintain and publish Power BI/ Tableau dashboards covering but not limited to the following, for over 10+ departments across Singtel Networks 
 Trouble Tickets 
 Change Requests 
 Mean Time to Resolve 
 Key Risk Indicators 
 Customer Care metrics 
 Deep dive analysis 
 Trouble Ticket system management
 Manage and govern the primary cause and resolution code table used in Trouble Ticketing System) to ensure proper data integrity is in place. 
 In-house Application Development
 Utilize Microsoft Power Automate to develop and maintain in-house applications. 
 Create automated workflows to streamline business processes. 
 Design and implement custom solutions for various departments' needs. 
 Collaborate with stakeholders to gather requirements and refine app functionalities. 
 RPA Callbot Management
 Process owner for the INOC RPA callbot to oversee all processes related to the RPA callbot. 
 Oversee change management; maintenance and support activities related to INOC callbot. 
 Project Management
 Actively involved in projects to drive process improvement 
 Oversee the migration from existing RPA callbot to new system (On-call management) to ensure the automated call-out for Network’s service impacting trouble tickets are promptly escalated to relevant stakeholders for fault resolution. 
 May be required to be involved in other projects from time to time. 
 Continuous Improvement
 Identify opportunities for process improvements and recommend data-driven strategies. 
 Implement Power Automate solutions to improve efficiency and reduce manual work. 
 Monitor and optimize existing automated processes. 
 Other Projects
 Utilize Office 365 tools to create innovative solutions for but limited to Incident management and Dashboarding 
 Explore integration possibilities between Power Automate and other Office 365 tools ","Bachelor’s degree in IT, or related field 
 Proficiency in Tableau or similar data visualization tools e.g. Power BI 
 Experience with RPA technologies and project management 
 Knowledge in programming is essential. 
 Strong analytical and problem-solving skills, with attention to detail and accuracy 
 Excellent verbal and written communication skills; ability to present complex data in an 
 understandable format. 
 Proficiency in data analysis tools (e.g., SQL, Excel, Python, R), Microsoft Office 365 suite, 
 with emphasis on Power Automate and data visualization tools (e.g., Tableau, Power BI). 
 Able to work independently and at the same time able to work collaboratively in a team 
 environment. 
 Strong sense of urgency to be able to deliver desired outcomes in a timely manner "
